Name,Author,ISBN,Description (optional),Quantity,"Type (Textbook, General Reading, Test Prep, Other)",Rentable (Y/N),Reservable (Y/N),Buffer Time
The Rule of Saint Benedict,Timothy Fry,978-0-375-70017-0,,1,Textbook,Y,N,
Self and Society in Medival France,John F. Benton,978-0-8020-6550-6,,1,Textbook,Y,N,
After the Ice: A Global Human History,Steven Mithen,978-0-674-01999-7,,1,Textbook,Y,N,
The Book of the City of Ladies,Christine De Pizan,978-0-140446890,,1,Textbook,Y,N,
Medival Mississippians: The Cahokian World,Timothy R. Pauketat and Susan M. Alt,978-1-938645-32-7,,2,Textbook,Y,N,
Debutus: An Introduction to French,"H. Jay Siskin, Ann Williams, Thomas T. Field ",978-0-07-338643-0,,1,Textbook,Y,N,
Europe Between the Oceans: 9000 BC- AD 1000,Barry Cunliffe,978-0-300-17086-3,,2,Textbook,Y,N,
Environmental Studies ,,978-1-3083089-8-2,,2,Textbook,Y,N,
Boundaries of Touch: Parenting and Adulting- Child Intimacy,Jean O'Malley Halley ,978-0-252-07581-0,,1,Textbook,Y,N,
An Environmental History of Latin America ,Shawn William Miller,978-0-521-61298-2,,2,Textbook,Y,N,
Fighting for the Future of Food: Activists Versus Agribusiness in the Struggle Over Biotechnology,Rachel Schurman and William A. Munro,978-0-8166-4762-0,,1,Textbook,Y,N,
"Magic, Science, Religion, and the Scope of Rationality",Stanley Jeyaraja Tambiah,978-0-521-37631-9,,1,Textbook,Y,N,
Levitation and the Air Pump,Steven Shapin and Simon Schraffer,978-0-691-15020-8,,1,Textbook,Y,N,
Conjuring Property: Speculation and Environmental Futures in the Brazilian Amazon,Jeremy M. Campbell,978-0-295-995298,,2,Textbook,Y,N,
"A Vast Machine: Computer Models, Climate Data, and The Politics of Global Warming",Paul N. Edwards,978-0-262-518635,,1,General Reading,Y,N,
Pregnancy in Practice: Expectation and Experience in the Contemporary US,Sallie Han,978-1-7823879-2-3,,1,Textbook,Y,N,
Mother Nature: Maternal Instincts and How They Shape The Human Species,Sarah Blaffer Hrdy,978-0-345-40893-8,,1,Textbook,Y,N,
Oxford: New Spanish Dictionary,,,,1,Textbook,Y,N,
The Hasidic Parable: An Anthology with Commentary ,Aryeh Wineman,978-0-8276-0707-5,,1,Textbook,Y,N,
English Folk Songs from the Southern Appalachians ,Maud Karpeles ,978-1-935243-17-5,,1,Textbook,Y,N,
"Rainbow Quest: The Folk Music Revival & American Society, 1940-1970",Ronald D. Cohen ,978-1-558-493483,,1,Textbook,Y,N,
Seeing the Psalms: A Theology of Metaphor,William P. Brown,978-0-664-22502-5,,1,Textbook,Y,N,
Doing Right and Being Good: Catholic and Protestant Readings in Christian Ethics,David Oki Ahearn & Peter R. Gathje,978-0-8146-5179-7,,1,Textbook,Y,N,
Peter Singer and Christian Ethics: Beyond Polarization,Charles C. Camosy ,978-0-521-14933-4,,1,Textbook,Y,N,
The Beautyful Ones Are Not Yet Born,Ayi Kwei Armah,978-0-435-90540-8,,1,Textbook,Y,N,
If The Universe Is Teeming with Aliens…Where is Everybody: Seventy-Five Solutions to the Fermi Paradox and the Problem of Extraterrestrial Life ,Stephen Webb,978-3-319-13235-8,,1,Textbook,Y,N,
A Short Guide To Writing About Biology ,Jan A. Pechenik,978-0-321-98425-8,,2,Textbook,Y,N,
The Fortunes of Wangrin ,Amadou Hampate Ba,978-0-253-21226-9,,1,Textbook,Y,N,
Drug Use and Abuse ,"Stephen A. Maisto, Mark Galizio, Gerard J. Cnnors ",978-1-285-45551-8,,1,Textbook,Y,N,
Nervous Conditions ,Tsitsi Dangarembga,978-0-9547023-3-5,,1,Textbook,Y,N,
The Riverside Shakespeare ,G. Blakemore Evans ,978-0-395-75490-0,,1,Textbook,Y,N,
Psychology: Themes and Variations ,Wayne Weiten,978-1-1113-5474-9,,3,Textbook,Y,N,
Life: The Science of Biology ,"David Sadava, David M. Hillis, H. Craig Heller, May R. Berenbaum",978-1-4292196-2-4,,2,Textbook,Y,N,
"Scales Intervals Keys Triads Rhythm and Meter: A Programmed Course in Elementary Music Theory, With an Introduction to Partwriting ","John Clough, Joyce Conley, Claire Boge",978-0-393-97369-7,,2,Textbook,Y,N,
Spin Cycle: How Research is Used in Policy Debates: The Case of Charter Schools ,Jeffrey R. Henig,978-0-87154-337-0,,1,Textbook,Y,N,
"The Ghost Map: The Story of London's Most Terrifying Epidemic and How it Changed Science, Cities, and the Modern World ",Steven Johnson ,978-2-59448-269-4,,1,Textbook,Y,N,
Dawn Xenogenesis,Octavia E. Butler ,978-0-446-0377-5,,1,General Reading ,Y,N,
A Friend of the Earth,T.C. Boyle ,978-0-14-100205-0,,1,General Reading ,Y,N,
A Gathering of Old Men,Ernest J. Gaines,978-0-679-73890-8,,1,General Reading ,Y,N,
The Road ,Cormac McCarthy,978-0-307-38789-9,,1,General Reading ,Y,N,
Designing Qualitative Research ,"Catherine Marshall, Gretchen B. Rossman",978-1-4522-7100-2,,2,Textbook,Y,N,
The Christological Controverst,Richard A. Norris Jr.,978-0-8006-1411-9,,1,Textbook,Y,N,
Number Our Days ,Barbara Myerhoff,978-0-671-25430-8,,1,Textbook,Y,N,
Death and Dying in America ,Andrea Fontana and Jennifer Reid Keene ,978-0-7456-3915-4,,1,Textbook,Y,N,
Theological Anthropology: Sources of Early Christian Thought,J. Patout Burns ,978-0-8006-1412-6,,1,Textbook,Y,N,
Wadsworth Classic Readings in Sociology ,,978-0-495-60276-7,,1,Textbook,Y,N,
Chemistry ,Steven S. Zumdahl and Susan A. Zumdahl,978-1-305-65185-2,,1,Textbook,Y,N,
Writing Toward Hope: The Literature of Human Rights in Latin America,Marjorie Agosin ,978-0-300-10942-9,,1,Textbook,Y,N,
Essentials of Oceanography ,"Alan P. Trujillo, Harold V. Thurman ",978-0-321-81405-0,,1,Textbook,Y,N,
Environmental Geology ,James S. Reichard ,978-0-07-809607-5,,1,Textbook,Y,N,
They Say I Say: The Moves That Matter in Academic Writing ,"Gerald Graff, Cathy Birkenstein ",978-0-393-93361-1,,1,Textbook,Y,N,
Our Magnificent Bastard Tongue: The Untold History of English,John McWhorter,978-1-592-40494-0,,1,Textbook,Y,N,
Comentarios Reales: Inca Garcilaso de la Vega ,Enrique Pupo- Walker,978-84-376-1416-8,,1,Textbook,Y,N,
"The Leader in Me: How Schools and Parents Around the World are Inspiring Greatness, One Child at a Time ",Stephen R. Covey ,978-1-4391-5317-8,,1,Textbook,Y,N,
A Pocket Guide to Writing in History ,Mary Lynn Rampolla ,978-0-312-61041-8,,2,Textbook,Y,N,
Windows of Faith: Muslim Women Scholar-Activists in North America ,Gisela Webb,978-0-8156-2852-8,,1,Textbook,Y,N,
Teaching With Love And Logic: Taking Control of the Classroom,Jim Fay and David Funk,978-0-944-63448-6,,1,Textbook,Y,N,
La Prueba ,Cesar Aira ,978-968-411-537-8,,1,Textbook,Y,N,
